   ,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",06-04-2025 16:00,23.8175497,91.2726974,PM10,18,35,28
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",06-04-2025 16:00,23.8175497,91.2726974,NO2,5,46,14
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",06-04-2025 16:00,23.8175497,91.2726974,CO,2,24,8
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",06-04-2025 16:00,23.8175497,91.2726974,PM2.5,11,24,17
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",06-04-2025 16:00,23.8175497,91.2726974,NH3,3,12,4
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",06-04-2025 16:00,23.8175497,91.2726974,OZONE,59,320,92
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",06-04-2025 16:00,23.8175497,91.2726974,SO2,20,22,21
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",06-04-2025 16:00,27.169338,78.03582,SO2,50,104,62
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",06-04-2025 16:00,27.23711,78.01936,NH3,1,2,1
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",06-04-2025 16:00,27.23711,78.01936,NO2,11,11,11
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",06-04-2025 16:00,27.106972,78.000111,NH3,4,5,5
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",06-04-2025 16:00,27.19865833,78.00598056,OZONE,14,131,90
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",06-04-2025 16:00,27.19412,77.96237,NO2,35,36,36
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",06-04-2025 16:00,27.19412,77.96237,SO2,20,24,21
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",06-04-2025 16:00,27.169338,78.03582,CO,10,34,20
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",06-04-2025 16:00,27.19862,77.92066,PM2.5,23,198,63
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",06-04-2025 16:00,27.19862,77.92066,SO2,15,22,17
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",06-04-2025 16:00,27.106972,78.000111,CO,22,34,29
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",06-04-2025 16:00,27.19865833,78.00598056,PM10,NA,NA,NA
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",06-04-2025 16:00,27.19865833,78.00598056,NO2,14,85,43
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",06-04-2025 16:00,27.106972,78.000111,SO2,13,19,16
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",06-04-2025 16:00,27.19412,77.96237,OZONE,1,4,3
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",06-04-2025 16:00,27.169338,78.03582,PM2.5,51,184,106
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",06-04-2025 16:00,27.169338,78.03582,PM10,67,158,116
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",06-04-2025 16:00,27.19862,77.92066,NO2,49,71,52
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",06-04-2025 16:00,27.19862,77.92066,NH3,NA,NA,NA
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",06-04-2025 16:00,27.19865833,78.00598056,SO2,12,47,24
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",06-04-2025 16:00,27.23711,78.01936,PM2.5,19,168,66
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",06-04-2025 16:00,27.106972,78.000111,NO2,12,12,12
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",06-04-2025 16:00,27.19865833,78.00598056,CO,24,52,27
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",06-04-2025 16:00,27.19412,77.96237,NH3,4,13,8
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",06-04-2025 16:00,27.23711,78.01936,CO,5,21,15
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",06-04-2025 16:00,27.106972,78.000111,PM10,25,132,83
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",06-04-2025 16:00,27.19412,77.96237,CO,20,37,31
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",06-04-2025 16:00,27.19862,77.92066,CO,6,20,15
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",06-04-2025 16:00,27.106972,78.000111,OZONE,10,14,13
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",06-04-2025 16:00,27.19865833,78.00598056,PM2.5,41,320,151
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",06-04-2025 16:00,27.19412,77.96237,PM2.5,44,372,185
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",06-04-2025 16:00,27.19412,77.96237,PM10,50,186,116
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",06-04-2025 16:00,27.169338,78.03582,NO2,12,12,12
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",06-04-2025 16:00,27.169338,78.03582,NH3,1,1,1
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",06-04-2025 16:00,27.169338,78.03582,OZONE,4,63,42
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",06-04-2025 16:00,27.19862,77.92066,PM10,68,183,111
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",06-04-2025 16:00,27.19862,77.92066,OZONE,1,7,5
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",06-04-2025 16:00,27.23711,78.01936,SO2,8,32,15
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",06-04-2025 16:00,27.23711,78.01936,OZONE,2,61,31
